age_bucket,cost,week
<5,18261.02705,0
<5,11189.27083,1
<5,14185.10105,2
<5,3150.041666,3
<5,12713.57916,4
<5,20928.40222,5
<5,4004.090851,6
<5,1470.473958,7
<5,15572.71206,8
<5,3987.283888,9
<5,2211.592666,10
<5,3625.265789,11
<5,1706.721212,12
<5,6856.385,13
18-29,15388.9386,0
18-29,11207.31971,1
18-29,12051.93571,2
18-29,3733.528909,3
18-29,8233.1875,4
18-29,1637.612884,5
18-29,7830.59,6
18-29,6897.140689,7
18-29,2686.053666,8
18-29,3667.46,9
18-29,16429.51571,10
18-29,5160.911627,11
18-29,4655.103428,12
18-29,999.294736,13
30-45,10098.46171,0
30-45,7511.311268,1
30-45,8073.56219,2
30-45,16717.20959,3
30-45,10662.88028,4
30-45,4260.915245,5
30-45,11198.82224,6
30-45,4093.462123,7
30-45,2249.542549,8
30-45,7234.98625,9
30-45,5749.656033,10
30-45,2753.671443,11
30-45,4928.978764,12
30-45,3094.301538,13
46-64,6332.641965,0
46-64,8607.935489,1
46-64,9031.378722,2
46-64,8781.090653,3
46-64,8116.762015,4
46-64,8776.628578,5
46-64,7305.990433,6
46-64,5633.12798,7
46-64,4991.220559,8
46-64,5968.039234,9
46-64,6360.611432,10
46-64,4099.87876,11
46-64,4084.298798,12
46-64,6024.192441,13
5-17,20338.24314,0
5-17,12784.4263,1
5-17,3066.497857,2
5-17,38742.38357,3
5-17,9913.029166,4
5-17,1696.628125,5
5-17,4817.142666,6
5-17,3159.741666,7
5-17,4201.083125,8
5-17,23976.65375,9
5-17,4248.80909,10
5-17,2610.76,11
5-17,1065.792,12
5-17,243.625,13
65+,7302.79073,0
65+,7832.796681,1
65+,9806.793439,2
65+,10060.35753,3
65+,7309.738259,4
65+,5545.593333,5
65+,5849.728666,6
65+,6499.92017,7
65+,4779.24381,8
65+,5863.310911,9
65+,5037.263395,10
65+,4555.374247,11
65+,4559.929785,12
65+,3007.610763,13
