ff,city,state,pop,obese
49,Anchorage,AK,298610,26.600000
4,Eagle River,AK,298610,26.600000
1,Eielson Afb,AK,100272,28.333333
11,Fairbanks,AK,100272,28.333333
1,Ft Wainwright,AK,100272,28.333333
3,Kenai,AK,56900,28.266666
1,Ketchikan,AK,13779,30.000000
2,Kodiak,AK,14239,29.433333
3,North Pole,AK,100272,28.333333
2,Palmer,AK,93925,29.266666
2,Soldotna,AK,56900,28.266666
8,Wasilla,AK,93925,29.266666
1,Abbeville,AL,17287,33.566666
1,Adamsville,AL,660009,32.200000
5,Alabaster,AL,200941,30.000000
8,Albertville,AL,94776,31.000000
21,Alexander City,AL,132763,34.800000
3,Altoona,AL,256994,32.100000
12,Andalusia,AL,75949,35.233333
13,Anniston,AL,132128,33.066666
24,Arab,AL,353437,32.566666
2,Ardmore,AL,430734,32.533333
2,Ashland,AL,13435,34.000000
11,Athens,AL,87654,32.533333
16,Atmore,AL,264367,34.933333
10,Attalla,AL,175472,32.900000
20,Auburn,AL,167792,37.666666
5,Bay Minette,AL,190790,28.166666
2,Bayou La Batre,AL,413936,32.666666
12,Bessemer,AL,860950,32.200000
77,Birmingham,AL,860950,32.200000
24,Boaz,AL,328074,32.900000
2,Brent,AL,22597,33.566666
10,Brewton,AL,50975,34.933333
1,Bridgeport,AL,53019,30.966666
1,Brighton,AL,660009,32.200000
1,Butler,AL,13633,36.533333
6,Calera,AL,244760,35.333333
1,Camden,AL,11431,39.133333
5,Centre,AL,26021,31.466666
2,Centreville,AL,22597,33.566666
3,Chelsea,AL,200941,30.000000
6,Childersburg,AL,81762,35.866666
2,Citronelle,AL,431045,34.833333
8,Clanton,AL,43819,35.333333
3,Columbiana,AL,200941,30.000000
4,Cottondale,AL,198596,33.400000
12,Cullman,AL,80440,32.266666
2,Dadeville,AL,41168,34.800000
9,Daleville,AL,128627,34.433333
7,Daphne,AL,190790,28.166666
22,Decatur,AL,154233,36.066666
5,Demopolis,AL,20401,38.066666
1,Dodge City,AL,80440,32.266666
3,Dora,AL,726230,34.400000
60,Dothan,AL,198064,34.433333
1,Ensley,AL,660009,32.200000
15,Enterprise,AL,101696,34.433333
11,Eufaula,AL,85021,36.333333
1,Eutaw,AL,8876,42.633333
9,Evergreen,AL,35583,34.733333
1,Fair Hope,AL,190790,28.166666
3,Fairfield,AL,660009,32.200000
4,Fairhope,AL,190790,28.166666
13,Fayette,AL,249243,35.800000
2,Flomaton,AL,37994,34.933333
1,Florala,AL,37955,34.200000
15,Florence,AL,92542,32.333333
8,Foley,AL,190790,28.166666
2,Forestdale,AL,660009,32.200000
17,Fort Payne,AL,97101,32.900000
2,Fort Rucker,AL,50444,34.433333
3,Fultondale,AL,660009,32.200000
19,Gadsden,AL,130413,32.100000
7,Gardendale,AL,660009,32.200000
5,Geneva,AL,26931,33.966666
1,Grand Bay,AL,413936,32.666666
1,Greensboro,AL,15388,39.166666
14,Greenville,AL,34390,37.166666
1,Grove Hills,AL,25161,34.600000
4,Gulf Shores,AL,190790,28.166666
16,Guntersville,AL,233042,32.266666
2,Gurley,AL,396099,31.266666
15,Haleyville,AL,86196,34.700000
9,Hamilton,AL,44586,32.700000
3,Hanceville,AL,80440,32.266666
6,Hartselle,AL,120395,31.266666
1,Hazel Green,AL,343080,31.266666
3,Headland,AL,171133,34.433333
2,Heflin,AL,37507,32.900000
2,Hokes Bluff,AL,130413,32.100000
5,Homewood,AL,860950,32.200000
15,Hoover,AL,860950,32.200000
2,Hope Hull,AL,241006,40.266666
5,Hueytown,AL,660009,32.200000
46,Huntsville,AL,343080,31.266666
1,Irondale,AL,660009,32.200000
3,Jackson,AL,25161,34.600000
8,Jacksonville,AL,117296,33.066666
8,Jasper,AL,66221,34.400000
1,Killen,AL,92542,32.333333
1,Lafayette,AL,34064,34.333333
17,Leeds,AL,946187,33.633333
8,Lincoln,AL,199058,35.866666
2,Livingston,AL,13427,38.200000
2,Loxley,AL,190790,28.166666
2,Luverne,AL,14083,35.100000
13,Madison,AL,343080,31.266666
2,Marion,AL,25569,39.166666
6,McCalla,AL,881202,33.766666
1,Meridianville,AL,343080,31.266666
3,Midfield,AL,660009,32.200000
8,Millbrook,AL,310778,33.933333
57,Mobile,AL,413936,32.666666
11,Monroeville,AL,35583,34.733333
10,Montevallo,AL,267357,35.333333
54,Montgomery,AL,230149,33.933333
6,Moulton,AL,33838,36.066666
9,Muscle Shoals,AL,54446,32.566666
2,New Hope,AL,437856,31.766666
9,Northport,AL,198596,33.400000
16,Oneonta,AL,247455,33.633333
20,Opelika,AL,259676,37.666666
12,Opp,AL,103290,35.100000
3,Orange Beach,AL,190790,28.166666
3,Owens Cross Roads,AL,343080,31.266666
16,Oxford,AL,199058,35.866666
7,Ozark,AL,50444,34.433333
7,Pelham,AL,200941,30.000000
7,Pell City,AL,85237,33.633333
26,Phenix City,AL,205077,36.066666
9,Piedmont,AL,262541,33.066666
7,Pinson,AL,893051,32.266666
