ff,city,state,PCT_OBESE_ADULTS09,PCT_OBESE_ADULTS10,PCT_OBESE_ADULTS13,PCT_DIABETES_ADULTS09,PCT_DIABETES_ADULTS10,PCT_OBESE_CHILD08,PCT_OBESE_CHILD11,PCH_OBESE_CHILD_08_11,PCT_HSPA09,PCH_RECFAC_07_12,PCH_RECFACPTH_07_12,pop
436,Houston,TX,28.80,28.50,30.90,8.30,8.00,17.10,16.60,-0.50,27.20,-5.33,-13.00,4253700
268,Las Vegas,NV,26.20,25.10,26.20,8.70,8.50,13.20,13.80,0.60,24.90,-8.40,-15.83,2000759
260,Los Angeles,CA,21.50,21.30,24.10,7.50,7.70,18.60,18.50,-0.10,0.00,6.24,3.81,9962789
227,Miami,FL,23.90,21.80,26.40,9.20,8.80,15.80,16.10,0.30,24.70,2.76,-2.69,2591035
222,Phoenix,AZ,23.70,22.80,26.80,7.50,8.00,14.80,14.90,0.10,25.70,-16.40,-17.87,3942169
221,San Antonio,TX,28.30,29.30,30.90,8.50,9.30,16.80,16.20,-0.60,27.20,20.51,7.23,1785704
205,Dallas,TX,30.70,30.30,30.90,9.40,9.20,17.00,16.80,-0.20,27.20,-12.77,-15.32,2453843
203,Chicago,IL,26.20,26.20,29.40,8.90,9.10,16.30,15.80,-0.50,24.10,5.50,5.59,5231351
172,Indianapolis,IN,30.30,31.90,31.80,10.40,10.60,15.00,14.00,-1.00,23.40,-7.37,-11.48,918977
171,San Diego,CA,23.00,23.10,24.10,7.30,7.50,16.00,16.00,0.00,0.00,-9.88,-15.60,3177063
153,Jacksonville,FL,28.00,28.40,26.40,11.10,10.80,10.90,10.60,-0.30,24.70,-26.73,-29.29,879602
151,Philadelphia,PA,31.50,30.60,30.00,11.20,11.50,8.40,12.20,3.80,27.70,5.38,4.18,1547607
150,Orlando,FL,26.70,25.70,26.40,9.00,9.00,13.70,13.30,-0.40,24.70,2.44,-9.16,1202234
143,New York,NY,15.10,15.70,25.40,6.90,7.30,13.40,12.50,-0.90,23.10,3.43,3.82,1619090
140,Columbus,OH,30.90,30.30,30.40,10.00,10.00,13.30,13.40,0.10,0.00,-4.48,-10.32,1195537
133,Memphis,TN,34.10,34.60,33.70,11.80,11.80,9.20,10.00,0.80,24.20,4.84,2.52,940764
129,Charlotte,NC,25.80,25.50,29.40,7.80,8.40,17.40,18.00,0.60,24.10,-2.58,-12.98,969031
127,Tampa,FL,26.20,26.80,26.40,9.80,10.50,13.60,13.90,0.30,24.70,34.00,22.69,1277746
126,Austin,TX,24.80,23.70,30.90,6.70,6.50,15.30,15.20,-0.10,27.20,25.71,11.36,1095584
124,Brooklyn,NY,24.50,23.20,25.40,9.50,10.20,13.00,12.70,-0.30,23.10,18.75,17.53,2565635
117,Tucson,AZ,25.60,24.10,26.80,7.80,7.90,15.20,15.30,0.10,25.70,-3.70,-3.30,992394
115,San Jose,CA,21.30,21.00,24.10,7.30,7.60,16.60,17.30,0.70,0.00,2.37,-3.96,1837504
111,Louisville,KY,33.70,33.20,33.20,11.20,12.30,13.40,11.90,-1.50,21.40,-2.78,-7.84,750828
109,Baltimore,MD,31.20,33.40,28.30,11.70,12.20,12.30,12.60,0.30,20.80,0.00,3.03,817455
109,Sacramento,CA,28.30,27.70,24.10,8.40,9.20,15.40,14.10,-1.30,0.00,-6.82,-11.74,1450121
102,Denver,CO,18.10,18.20,21.30,5.50,5.90,10.00,10.60,0.60,26.90,41.51,29.13,634265
100,Cincinnati,OH,27.10,28.40,30.40,9.80,10.60,11.70,13.50,1.80,0.00,-3.91,2.55,802038
96,Portland,OR,24.30,22.30,26.50,7.10,7.40,12.90,14.30,1.40,0.00,-9.09,-16.54,759256
94,Knoxville,TN,30.60,29.50,33.70,10.70,10.50,13.70,12.90,-0.80,24.20,-8.89,-12.32,441311
94,Detroit,MI,34.20,34.30,31.50,12.30,13.20,12.90,11.90,-1.00,25.30,-22.05,-13.83,1792365
91,Oklahoma City,OK,29.70,30.00,32.50,10.20,10.50,0.00,0.00,0.00,27.50,-9.72,-14.87,741781
90,Colorado Springs,CO,21.20,21.40,21.30,6.00,5.90,7.00,5.70,-1.30,26.90,-16.42,-24.12,644964
90,Atlanta,GA,23.80,22.90,30.30,8.20,7.90,15.10,12.50,-2.60,23.70,-1.59,-0.28,977773
89,Bakersfield,CA,28.80,27.80,24.10,7.70,7.80,15.90,16.30,0.40,0.00,-20.00,-26.68,856158
88,Albuquerque,NM,19.90,19.30,26.40,6.10,5.90,9.80,9.90,0.10,23.40,0.00,-6.63,673460
88,Fresno,CA,29.40,29.40,24.10,9.00,9.00,17.50,17.70,0.20,0.00,-31.75,-35.92,947895
88,Nashville,TN,30.00,30.30,33.70,9.20,9.30,17.20,16.60,-0.60,24.20,9.84,5.28,648295
87,El Paso,TX,23.80,23.40,30.90,8.40,8.40,12.30,12.50,0.20,27.20,-2.00,-13.79,827398
87,Omaha,NE,27.30,28.40,29.60,8.00,8.40,13.50,14.30,0.80,0.00,-10.13,-15.87,531265
86,Richmond,VA,31.30,27.90,27.20,11.60,9.60,15.00,14.20,-0.80,0.00,13.33,8.13,9059
86,Fort Worth,TX,27.80,27.90,30.90,8.30,9.20,14.50,14.30,-0.20,27.20,-14.47,-22.22,1880153
84,Mesa,AZ,23.70,22.80,26.80,7.50,8.00,14.80,14.90,0.10,25.70,-16.40,-17.87,3942169
84,Raleigh,NC,26.00,24.80,29.40,7.20,7.00,16.30,16.20,-0.10,24.10,-10.07,-21.44,952151
83,Baltimore,MD,27.40,27.60,28.30,9.40,9.70,12.70,13.20,0.50,20.80,-15.57,-18.71,621342
82,Baton Rouge,LA,31.70,33.60,33.10,11.10,11.70,13.80,11.60,-2.20,23.00,-3.03,-6.05,444526
81,Bronx,NY,27.50,28.40,25.40,9.50,10.30,15.40,14.90,-0.50,23.10,15.00,13.09,1408473
80,Pittsburgh,PA,28.60,27.30,30.00,9.60,9.20,12.90,11.60,-1.30,27.70,-4.32,-5.06,1229338
78,Wichita,KS,29.50,30.00,30.00,9.40,9.90,16.50,14.60,-1.90,27.80,0.00,-5.72,503889
77,Virginia Beach,VA,26.70,27.50,27.20,8.50,9.00,13.10,12.70,-0.40,0.00,-13.79,-16.28,447021
69,Columbia,SC,30.80,31.10,31.70,10.90,10.90,9.30,0.00,0.00,17.10,-21.05,-27.80,393830
69,St. Louis,MO,33.90,32.90,30.40,11.70,11.70,13.30,13.20,-0.10,26.70,77.27,98.16,1000438
68,Milwaukee,WI,32.30,31.30,29.80,10.00,10.10,13.70,14.00,0.30,23.80,25.81,25.41,955205
67,Long Beach,CA,21.50,21.30,24.10,7.50,7.70,18.60,18.50,-0.10,0.00,6.24,3.81,9962789
67,Salt Lake City,UT,24.50,24.60,24.10,6.70,6.80,0.00,9.70,0.00,17.30,7.14,0.96,1063842
65,Seattle,WA,22.40,22.50,27.20,6.40,6.80,14.60,14.50,-0.10,0.00,13.15,4.70,2007440
65,Rochester,NY,30.30,30.20,25.40,9.40,9.60,13.40,13.70,0.30,23.10,-9.09,-11.18,747813
65,Washington,DC,21.50,21.00,22.90,8.20,8.10,14.40,0.00,0.00,0.00,1.37,-5.99,632323
63,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
61,Kansas City,MO,32.70,32.00,30.40,9.30,10.00,14.00,14.10,0.10,26.70,-17.65,-16.69,677377
61,Greensboro,NC,28.20,27.40,29.40,10.20,10.10,14.90,15.50,0.60,24.10,-33.78,-38.54,500879
60,Dayton,OH,31.10,30.40,30.40,12.00,12.50,9.30,10.40,1.10,0.00,24.14,25.02,534325
59,Fayetteville,NC,33.20,33.80,29.40,11.70,12.00,7.60,8.00,0.40,24.10,16.67,11.15,324049
58,Birmingham,AL,32.00,32.20,32.40,12.40,11.70,12.00,12.30,0.30,19.40,0.00,0.22,660009
58,Fort Wayne,IN,33.10,32.20,31.80,10.30,10.30,12.80,13.60,0.80,23.40,0.00,-3.08,360412
56,Boise,ID,23.30,23.50,29.60,6.80,7.30,10.10,9.80,-0.30,27.60,19.44,8.76,409061
55,Toledo,OH,31.60,31.80,30.40,10.90,10.30,10.60,9.80,-0.80,0.00,4.65,11.50,437998
55,Santa Ana,CA,20.60,20.40,24.10,7.20,7.40,16.40,17.00,0.60,0.00,0.64,-3.67,3090132
55,San Francisco,CA,17.10,16.00,24.10,7.20,6.90,16.30,16.00,-0.30,0.00,0.91,-2.35,825863
54,Greenville,SC,28.10,29.80,31.70,9.90,10.70,13.70,0.00,0.00,17.10,16.36,7.31,467605
54,Anaheim,CA,20.60,20.40,24.10,7.20,7.40,16.40,17.00,0.60,0.00,0.64,-3.67,3090132
54,Cleveland,OH,28.10,27.20,30.40,10.70,10.60,10.40,11.10,0.70,0.00,-5.26,-3.13,1265111
54,Riverside,CA,27.60,27.00,24.10,9.20,9.50,15.20,15.30,0.10,0.00,-14.38,-22.41,2268783
53,Norfolk,VA,33.00,35.20,27.20,10.00,9.70,12.20,10.70,-1.50,0.00,-27.78,-30.64,245782
53,Arlington,TX,27.80,27.90,30.90,8.30,9.20,14.50,14.30,-0.20,27.20,-14.47,-22.22,1880153
53,Mobile,AL,31.70,33.90,32.40,12.30,12.10,10.90,10.10,-0.80,19.40,-12.50,-14.34,413936
52,Glendale,AZ,23.70,22.80,26.80,7.50,8.00,14.80,14.90,0.10,25.70,-16.40,-17.87,3942169
52,Aurora,CO,19.60,20.70,21.30,5.90,6.00,9.60,9.20,-0.40,26.90,5.08,-4.11,595546
52,Chattanooga,TN,30.30,30.60,33.70,10.40,11.80,12.60,13.00,0.40,24.20,4.76,0.39,345545
51,Marietta,GA,23.60,23.40,30.30,8.80,8.80,17.40,15.30,-2.10,23.70,-14.94,-16.86,707442
51,Richmond,VA,28.50,27.90,27.20,9.10,9.40,15.20,13.90,-1.30,0.00,-11.11,-18.22,314932
51,Spokane,WA,28.00,28.00,27.20,8.30,8.80,9.70,9.30,-0.40,0.00,-5.77,-9.64,475735
50,Tulsa,OK,29.00,30.20,32.50,9.60,10.30,0.00,0.00,0.00,27.50,1.27,-3.42,613816
49,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
49,Modesto,CA,30.50,30.80,24.10,8.30,8.30,17.10,17.50,0.40,0.00,5.56,2.46,521726
48,Pensacola,FL,29.30,30.00,26.40,11.50,12.40,10.80,10.90,0.10,24.70,-29.63,-29.66,302715
48,Plano,TX,24.60,24.50,30.90,7.10,8.00,15.30,13.90,-1.40,27.20,15.28,1.24,834642
48,Montgomery,AL,34.10,35.30,32.40,13.90,14.30,12.00,12.50,0.50,19.40,38.46,35.75,230149
48,St. Louis,MO,29.00,28.30,30.40,9.00,10.00,11.90,11.20,-0.70,26.70,-8.39,-9.01,318172
48,Stockton,CA,30.00,31.00,24.10,8.60,9.50,16.50,16.50,0.00,0.00,-17.07,-21.48,702612
47,Laredo,TX,29.30,30.70,30.90,8.50,8.80,15.40,15.00,-0.40,27.20,-15.38,-24.63,259172
47,Grand Rapids,MI,30.30,30.70,31.50,9.00,9.50,15.70,14.20,-1.50,25.30,-7.04,-8.87,614462
47,Durham,NC,30.30,29.40,29.40,8.70,9.40,17.60,17.90,0.30,24.10,-14.63,-21.91,279641
46,Lexington,KY,30.80,28.90,33.20,9.30,9.50,18.90,17.70,-1.20,21.40,-6.98,-12.53,305489
46,Little Rock,AR,32.10,33.10,34.60,10.50,11.10,11.50,13.40,1.90,24.30,18.42,14.17,388953
46,Scottsdale,AZ,23.70,22.80,26.80,7.50,8.00,14.80,14.90,0.10,25.70,-16.40,-17.87,3942169
46,Richmond,VA,26.90,28.40,27.20,9.00,9.90,14.40,14.20,-0.20,0.00,-11.11,-17.83,323856
46,Reno,NV,22.70,22.50,26.20,6.70,6.90,14.30,12.60,-1.70,24.90,-12.50,-17.30,429908
46,Tallahassee,FL,28.20,28.20,26.40,8.90,8.90,10.50,10.20,-0.30,24.70,33.33,23.44,283769
45,Winston Salem,NC,25.60,26.00,29.40,9.50,10.10,15.70,14.50,-1.20,24.10,-9.26,-11.84,358137
45,Chesapeake,VA,27.50,28.50,27.20,9.30,9.70,17.70,14.40,-3.30,0.00,53.33,47.10,228417
45,Tacoma,WA,31.00,31.40,27.20,9.20,10.20,14.10,14.20,0.10,0.00,5.17,0.30,811681
44,Houston,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
44,Springfield,MO,30.10,29.40,30.40,8.90,9.10,12.30,11.00,-1.30,26.70,26.92,19.31,280626
43,Tempe,AZ,23.70,22.80,26.80,7.50,8.00,14.80,14.90,0.10,25.70,-16.40,-17.87,3942169
43,Charleston,SC,27.50,27.70,31.70,10.00,10.80,13.70,0.00,0.00,17.10,-12.50,-17.45,365162
43,Honolulu,HI,21.70,21.80,21.80,8.60,8.90,8.90,8.90,0.00,18.10,-5.17,-12.72,976372
43,Ontario,CA,28.10,28.20,24.10,7.80,8.50,16.20,15.20,-1.00,0.00,-19.05,-22.48,2081313
42,Spartanburg,SC,29.90,28.50,31.70,10.60,11.90,11.50,0.00,0.00,17.10,10.71,6.11,288745
