pop,fips
55514,01001
190790,01003
27201,01005
22597,01007
57826,01009
10474,01011
20307,01013
117296,01015
34064,01017
26021,01019
43819,01021
13633,01023
25161,01025
13435,01027
14832,01029
51252,01031
54446,01033
12981,01035
10966,01037
37955,01039
14083,01041
80440,01043
50444,01045
42864,01047
71080,01049
80629,01051
37994,01053
104392,01055
16983,01057
31761,01059
26931,01061
8876,01063
15388,01065
17287,01067
103402,01069
53019,01071
660009,01073
14259,01075
92542,01077
33838,01079
147257,01081
87654,01083
10857,01085
20535,01087
343080,01089
20401,01091
30327,01093
94776,01095
413936,01097
22602,01099
230149,01101
120395,01103
10181,01105
19405,01107
33182,01109
22675,01111
57820,01113
85237,01115
200941,01117
13427,01119
81762,01121
41168,01123
198596,01125
66221,01127
17109,01129
11431,01131
24108,01133
3161,02013
5547,02016
298610,02020
17746,02050
991,02060
1875,02068
5034,02070
100272,02090
2552,02100
2129,02105
32556,02110
56900,02122
13779,02130
14239,02150
1654,02164
93925,02170
9915,02180
9643,02185
7810,02188
3844,02195
5751,02198
9046,02220
959,02230
7144,02240
9717,02261
7809,02270
2403,02275
668,02282
5770,02290
73195,04001
132088,04003
136011,04005
53144,04007
37416,04009
8802,04011
20281,04012
3942169,04013
203334,04015
107094,04017
992394,04019
387365,04021
47303,04023
212637,04025
200022,04027
18892,05001
21524,05003
41048,05005
232268,05007
37327,05009
11397,05011
5307,05013
27610,05015
11433,05017
22936,05019
15684,05021
25808,05023
8627,05025
24473,05027
21287,05029
99735,05031
61946,05033
50021,05035
17683,05037
7987,05039
12545,05041
18743,05043
118704,05045
18045,05047
12318,05049
96903,05051
17986,05053
43163,05055
22373,05057
33394,05059
13735,05061
37025,05063
13474,05065
17600,05067
74723,05069
25901,05071
7447,05073
17012,05075
10216,05077
14101,05079
12919,05081
21983,05083
69839,05085
15645,05087
16568,05089
43634,05091
45562,05093
7828,05095
9340,05097
8925,05099
8086,05101
25396,05103
10339,05105
20784,05107
11247,05109
24307,05111
20471,05113
62765,05115
8458,05117
388953,05119
17930,05121
27858,05123
111845,05125
11010,05127
8007,05129
127304,05131
17177,05133
17054,05135
12663,05137
40867,05139
17030,05141
211411,05143
78493,05145
7100,05147
21932,05149
1554720,06001
1129,06003
37035,06005
221539,06007
44742,06009
21411,06011
1079597,06013
28290,06015
180561,06017
947895,06019
27992,06021
134827,06023
176948,06025
18495,06027
856158,06029
151364,06031
63983,06033
33658,06035
9962789,06037
152218,06039
256069,06041
17905,06043
87428,06045
262305,06047
9327,06049
14348,06051
426762,06053
139045,06055
98292,06057
3090132,06059
361682,06061
19399,06063
2268783,06065
1450121,06067
56884,06069
2081313,06071
3177063,06073
825863,06075
